CustomerID,Name,Phone,Address,City
1,Customer_1,7608637542,Address_1,Delhi
2,Customer_2,9421126067,Address_2,Hyderabad
3,Customer_3,6787846414,Address_3,Mumbai
4,Customer_4,9143890026,Address_4,Bangalore
5,Customer_5,9348747335,Address_5,Bangalore
6,Customer_6,8571218620,Address_6,Delhi
7,Customer_7,8563451924,Address_7,Mumbai
8,Customer_8,6670094950,Address_8,Chennai
9,Customer_9,7914837113,Address_9,Mumbai
10,Customer_10,6669991378,Address_10,Delhi
11,Customer_11,6429389014,Address_11,Delhi
12,Customer_12,6249467210,Address_12,Mumbai
13,Customer_13,7972458954,Address_13,Delhi
14,Customer_14,9720198231,Address_14,Mumbai
15,Customer_15,7433267572,Address_15,Hyderabad
16,Customer_16,8581769315,Address_16,Mumbai
17,Customer_17,6613608295,Address_17,Mumbai
18,Customer_18,9041148567,Address_18,Delhi
19,Customer_19,8795544706,Address_19,Delhi
20,Customer_20,6088409749,Address_20,Bangalore
21,Customer_21,6242285876,Address_21,Bangalore
22,Customer_22,9100961111,Address_22,Hyderabad
23,Customer_23,9575313899,Address_23,Bangalore
24,Customer_24,6911989541,Address_24,Mumbai
25,Customer_25,6003344769,Address_25,Delhi
26,Customer_26,6780932287,Address_26,Bangalore
27,Customer_27,6787716372,Address_27,Bangalore
28,Customer_28,8652062880,Address_28,Hyderabad
29,Customer_29,7306710475,Address_29,Hyderabad
30,Customer_30,8627030329,Address_30,Mumbai
31,Customer_31,8253811733,Address_31,Delhi
32,Customer_32,6030349564,Address_32,Hyderabad
33,Customer_33,7855189739,Address_33,Bangalore
34,Customer_34,6099052376,Address_34,Delhi
35,Customer_35,7250819632,Address_35,Delhi
36,Customer_36,8253890010,Address_36,Bangalore
37,Customer_37,8627888186,Address_37,Hyderabad
38,Customer_38,7717389822,Address_38,Bangalore
39,Customer_39,6599121577,Address_39,Delhi
40,Customer_40,6200427519,Address_40,Chennai
41,Customer_41,7254751707,Address_41,Chennai
42,Customer_42,7573512143,Address_42,Mumbai
43,Customer_43,6999745294,Address_43,Bangalore
44,Customer_44,7958805693,Address_44,Bangalore
45,Customer_45,6389151677,Address_45,Mumbai
46,Customer_46,9372305070,Address_46,Mumbai
47,Customer_47,8655947709,Address_47,Mumbai
48,Customer_48,6857592370,Address_48,Delhi
49,Customer_49,7642661739,Address_49,Bangalore
50,Customer_50,8208620086,Address_50,Delhi
51,Customer_51,8544401215,Address_51,Mumbai
52,Customer_52,8004731384,Address_52,Bangalore
53,Customer_53,6199502978,Address_53,Delhi
54,Customer_54,9693415908,Address_54,Delhi
55,Customer_55,8609385266,Address_55,Mumbai
56,Customer_56,8921898630,Address_56,Bangalore
57,Customer_57,6732395540,Address_57,Mumbai
58,Customer_58,7934879560,Address_58,Bangalore
59,Customer_59,6279394470,Address_59,Chennai
60,Customer_60,6056972561,Address_60,Hyderabad
61,Customer_61,8419304461,Address_61,Hyderabad
62,Customer_62,9472040177,Address_62,Hyderabad
63,Customer_63,7655351289,Address_63,Mumbai
64,Customer_64,7308306184,Address_64,Chennai
65,Customer_65,6068574553,Address_65,Bangalore
